Alpha,Cl,Cd,Cm
-90.0,-0.06,1.3774,0.3591
-85.0,-0.179,1.3648,0.3471
-80.0,-0.295,1.3376,0.334
-75.0,-0.407,1.2962,0.3199
-70.0,-0.512,1.2409,0.3049
-65.0,-0.608,1.1725,0.289
-60.0,-0.693,1.0919,0.2722
-55.0,-0.764,1.0002,0.2545
-50.0,-0.82,0.899,0.2359
-45.0,-0.857,0.79,0.2163
-40.0,-0.875,0.6754,0.1958
-35.0,-0.869,0.5579,0.1744
-30.0,-0.838,0.4405,0.152
-25.0,-0.791,0.3256,0.1262
-24.0,-0.794,0.3013,0.117
-23.0,-0.805,0.2762,0.1059
-22.0,-0.821,0.2506,0.0931
-21.0,-0.843,0.2246,0.0788
-20.0,-0.869,0.1983,0.0631
-19.0,-0.899,0.172,0.0464
-18.0,-0.931,0.1457,0.0286
-17.0,-0.964,0.1197,0.0102
-16.0,-0.999,0.094,-0.0088
-15.0,-1.033,0.0689,-0.0281
-14.5,-1.05,0.0567,-0.0378
-12.01,-0.953,0.0271,-0.0349
-11.0,-0.9,0.0303,-0.0361
-9.98,-0.827,0.0287,-0.0464
-8.12,-0.536,0.0124,-0.0821
-7.62,-0.467,0.0109,-0.0924
-7.11,-0.393,0.0092,-0.1015
-6.6,-0.323,0.0083,-0.1073
-6.5,-0.311,0.0089,-0.1083
-6.0,-0.245,0.0082,-0.1112
-5.5,-0.178,0.0074,-0.1146
-5.0,-0.113,0.0069,-0.1172
-4.5,-0.048,0.0065,-0.1194
-4.0,0.016,0.0063,-0.1213
-3.5,0.08,0.0061,-0.1232
-3.0,0.145,0.0058,-0.1252
-2.5,0.208,0.0057,-0.1268
-2.0,0.27,0.0057,-0.1282
-1.5,0.333,0.0057,-0.1297
-1.0,0.396,0.0057,-0.131
-0.5,0.458,0.0057,-0.1324
0.0,0.521,0.0057,-0.1337
0.5,0.583,0.0057,-0.135
1.0,0.645,0.0058,-0.1363
1.5,0.706,0.0058,-0.1374
2.0,0.768,0.0059,-0.1385
2.5,0.828,0.0061,-0.1395
3.0,0.888,0.0063,-0.1403
3.5,0.948,0.0066,-0.1406
4.0,0.996,0.0071,-0.1398
4.5,1.046,0.0079,-0.139
5.0,1.095,0.009,-0.1378
5.5,1.145,0.0103,-0.1369
6.0,1.192,0.0113,-0.1353
6.5,1.239,0.0122,-0.1338
7.0,1.283,0.0131,-0.1317
7.5,1.324,0.0139,-0.1291
8.0,1.358,0.0147,-0.1249
8.5,1.385,0.0158,-0.1213
9.0,1.403,0.0181,-0.1177
9.5,1.401,0.0211,-0.1142
10.0,1.358,0.0255,-0.1103
10.5,1.313,0.0301,-0.1066
11.0,1.287,0.0347,-0.1032
11.5,1.274,0.0401,-0.1002
12.0,1.272,0.0468,-0.0971
12.5,1.273,0.0545,-0.094
13.0,1.273,0.0633,-0.0909
13.5,1.273,0.0722,-0.0883
14.0,1.272,0.0806,-0.0865
14.5,1.273,0.09,-0.0854
15.0,1.275,0.0987,-0.0849
15.5,1.281,0.1075,-0.0847
16.0,1.284,0.117,-0.085
16.5,1.296,0.127,-0.0858
17.0,1.306,0.1368,-0.0869
17.5,1.308,0.1464,-0.0883
18.0,1.308,0.1562,-0.0901
18.5,1.308,0.1664,-0.0922
19.0,1.308,0.177,-0.0949
19.5,1.307,0.1878,-0.098
20.0,1.311,0.1987,-0.1017
20.5,1.325,0.21,-0.1059
21.0,1.324,0.2214,-0.1105
22.0,1.277,0.2499,-0.1172
23.0,1.229,0.2786,-0.1239
24.0,1.182,0.3077,-0.1305
25.0,1.136,0.3371,-0.137
26.0,1.093,0.3664,-0.1433
28.0,1.017,0.4246,-0.1556
30.0,0.962,0.4813,-0.1671
32.0,0.937,0.5356,-0.1778
35.0,0.947,0.6127,-0.1923
40.0,0.95,0.7396,-0.2154
45.0,0.928,0.8623,-0.2374
50.0,0.884,0.9781,-0.2583
55.0,0.821,1.0846,-0.2782
60.0,0.74,1.1796,-0.2971
65.0,0.646,1.2617,-0.3149
70.0,0.54,1.3297,-0.3318
75.0,0.425,1.3827,-0.3476
80.0,0.304,1.4202,-0.3625
85.0,0.179,1.4423,-0.3763
90.0,0.053,1.4512,-0.389
