Alpha,Cl,Cd,Cm
-90.0,-0.067,1.3587,0.3636
-85.0,-0.184,1.3456,0.3517
-80.0,-0.299,1.3181,0.3388
-75.0,-0.409,1.2765,0.3248
-70.0,-0.512,1.2212,0.3099
-65.0,-0.606,1.1532,0.294
-60.0,-0.689,1.0731,0.2772
-55.0,-0.759,0.9822,0.2595
-50.0,-0.814,0.882,0.2409
-45.0,-0.85,0.7742,0.2212
-40.0,-0.866,0.661,0.2006
-35.0,-0.86,0.5451,0.1789
-30.0,-0.829,0.4295,0.1563
-25.0,-0.853,0.3071,0.1156
-24.0,-0.87,0.2814,0.104
-23.0,-0.89,0.2556,0.0916
-22.0,-0.911,0.2297,0.0785
-21.0,-0.934,0.204,0.0649
-20.0,-0.958,0.1785,0.0508
-19.0,-0.982,0.1534,0.0364
-18.0,-1.005,0.1288,0.0218
-17.0,-1.082,0.1037,0.0129
-16.0,-1.113,0.0786,-0.0028
-15.0,-1.105,0.0535,-0.0251
-14.0,-1.078,0.0283,-0.0419
-13.5,-1.053,0.0158,-0.0521
-13.0,-1.015,0.0151,-0.061
-12.0,-0.904,0.0134,-0.0707
-11.0,-0.807,0.0121,-0.0722
-10.0,-0.711,0.0111,-0.0734
-9.0,-0.595,0.0099,-0.0772
-8.0,-0.478,0.0091,-0.0807
-7.0,-0.375,0.0086,-0.0825
-6.0,-0.264,0.0082,-0.0832
-5.0,-0.151,0.0079,-0.0841
-4.0,-0.017,0.0072,-0.0869
-3.0,0.088,0.0064,-0.0912
-2.0,0.213,0.0054,-0.0946
-1.0,0.328,0.0052,-0.0971
0.0,0.442,0.0052,-0.1014
1.0,0.556,0.0052,-0.1076
2.0,0.67,0.0053,-0.1126
3.0,0.784,0.0053,-0.1157
4.0,0.898,0.0054,-0.1199
5.0,1.011,0.0058,-0.124
6.0,1.103,0.0091,-0.1234
7.0,1.181,0.0113,-0.1184
8.0,1.257,0.0124,-0.1163
8.5,1.293,0.013,-0.1163
9.0,1.326,0.0136,-0.116
9.5,1.356,0.0143,-0.1154
10.0,1.382,0.015,-0.1149
10.5,1.4,0.0267,-0.1145
11.0,1.415,0.0383,-0.1143
11.5,1.425,0.0498,-0.1147
12.0,1.434,0.0613,-0.1158
12.5,1.443,0.0727,-0.1165
13.0,1.451,0.0841,-0.1153
13.5,1.453,0.0954,-0.1131
14.0,1.448,0.1065,-0.1112
14.5,1.444,0.1176,-0.1101
15.0,1.445,0.1287,-0.1103
15.5,1.447,0.1398,-0.1109
16.0,1.448,0.1509,-0.1114
16.5,1.444,0.1619,-0.1111
17.0,1.438,0.1728,-0.1097
17.5,1.439,0.1837,-0.1079
18.0,1.448,0.1947,-0.108
18.5,1.452,0.2057,-0.109
19.0,1.448,0.2165,-0.1086
19.5,1.438,0.2272,-0.1077
20.0,1.428,0.2379,-0.1099
21.0,1.401,0.259,-0.1169
22.0,1.359,0.2799,-0.119
23.0,1.3,0.3004,-0.1235
24.0,1.22,0.3204,-0.1393
25.0,1.168,0.3377,-0.144
26.0,1.116,0.3554,-0.1486
28.0,1.015,0.3916,-0.1577
30.0,0.926,0.4294,-0.1668
32.0,0.855,0.469,-0.1759
35.0,0.8,0.5324,-0.1897
40.0,0.804,0.6452,-0.2126
45.0,0.793,0.7573,-0.2344
50.0,0.763,0.8664,-0.2553
55.0,0.717,0.9708,-0.2751
60.0,0.656,1.0693,-0.2939
65.0,0.582,1.1606,-0.3117
70.0,0.495,1.2438,-0.3285
75.0,0.398,1.3178,-0.3444
80.0,0.291,1.3809,-0.3593
85.0,0.176,1.4304,-0.3731
90.0,0.053,1.4565,-0.3858
