Alpha,Cl,Cd,Cm
-90.0,-0.05,1.4201,0.3416
-85.0,-0.173,1.4081,0.3292
-80.0,-0.294,1.3811,0.3159
-75.0,-0.409,1.3394,0.3017
-70.0,-0.518,1.2833,0.2866
-65.0,-0.617,1.2138,0.2707
-60.0,-0.706,1.1315,0.2539
-55.0,-0.78,1.0378,0.2364
-50.0,-0.839,0.9341,0.2181
-45.0,-0.879,0.8221,0.1991
-40.0,-0.898,0.7042,0.1792
-35.0,-0.893,0.5829,0.1587
-30.0,-0.862,0.4616,0.1374
-25.0,-0.803,0.3441,0.1154
-24.0,-0.792,0.3209,0.1101
-23.0,-0.789,0.2972,0.1031
-22.0,-0.792,0.273,0.0947
-21.0,-0.801,0.2485,0.0849
-20.0,-0.815,0.2237,0.0739
-19.0,-0.833,0.199,0.0618
-18.0,-0.854,0.1743,0.0488
-17.0,-0.879,0.1498,0.0351
-16.0,-0.905,0.1256,0.0208
-15.0,-0.932,0.102,0.006
-14.0,-0.959,0.0789,-0.0091
-13.0,-0.985,0.0567,-0.0243
-12.01,-0.953,0.0271,-0.0349
-11.0,-0.9,0.0303,-0.0361
-9.98,-0.827,0.0287,-0.0464
-8.98,-0.753,0.0271,-0.0534
-8.47,-0.691,0.0264,-0.065
-7.45,-0.555,0.0114,-0.0782
-6.42,-0.413,0.0094,-0.0904
-5.4,-0.271,0.0086,-0.1006
-5.0,-0.22,0.0073,-0.1107
-4.5,-0.152,0.0071,-0.1135
-4.0,-0.084,0.007,-0.1162
-3.5,-0.018,0.0069,-0.1186
-3.0,0.049,0.0068,-0.1209
-2.5,0.115,0.0068,-0.1231
-2.0,0.181,0.0068,-0.1252
-1.5,0.247,0.0067,-0.1272
-1.0,0.312,0.0067,-0.1293
-0.5,0.377,0.0067,-0.1311
0.0,0.444,0.0065,-0.133
0.5,0.508,0.0065,-0.1347
1.0,0.573,0.0066,-0.1364
1.5,0.636,0.0067,-0.138
2.0,0.701,0.0068,-0.1396
2.5,0.765,0.0069,-0.1411
3.0,0.827,0.007,-0.1424
3.5,0.89,0.0071,-0.1437
4.0,0.952,0.0073,-0.1448
4.5,1.013,0.0076,-0.1456
5.0,1.062,0.0079,-0.1445
6.0,1.161,0.0099,-0.1419
6.5,1.208,0.0117,-0.1403
7.0,1.254,0.0132,-0.1382
7.5,1.301,0.0143,-0.1362
8.0,1.336,0.0153,-0.132
8.5,1.369,0.0165,-0.1276
9.0,1.4,0.0181,-0.1234
9.5,1.428,0.0211,-0.1193
10.0,1.442,0.0262,-0.1152
10.5,1.427,0.0336,-0.1115
11.0,1.374,0.042,-0.1081
11.5,1.316,0.0515,-0.1052
12.0,1.277,0.0601,-0.1026
12.5,1.25,0.0693,-0.1
13.0,1.246,0.0785,-0.098
13.5,1.247,0.0888,-0.0969
14.0,1.256,0.1,-0.0968
14.5,1.26,0.1108,-0.0973
15.0,1.271,0.1219,-0.0981
15.5,1.281,0.1325,-0.0992
16.0,1.289,0.1433,-0.1006
16.5,1.294,0.1541,-0.1023
17.0,1.304,0.1649,-0.1042
17.5,1.309,0.1754,-0.1064
18.0,1.315,0.1845,-0.1082
18.5,1.32,0.1953,-0.111
19.0,1.33,0.2061,-0.1143
19.5,1.343,0.217,-0.1179
20.0,1.354,0.228,-0.1219
20.5,1.359,0.239,-0.1261
21.0,1.36,0.2536,-0.1303
22.0,1.325,0.2814,-0.1375
23.0,1.288,0.3098,-0.1446
24.0,1.251,0.3386,-0.1515
25.0,1.215,0.3678,-0.1584
26.0,1.181,0.3972,-0.1651
28.0,1.12,0.4563,-0.1781
30.0,1.076,0.5149,-0.1904
32.0,1.056,0.572,-0.2017
35.0,1.066,0.6548,-0.2173
40.0,1.064,0.7901,-0.2418
45.0,1.035,0.919,-0.265
50.0,0.98,1.0378,-0.2867
55.0,0.904,1.1434,-0.3072
60.0,0.81,1.2333,-0.3265
65.0,0.702,1.3055,-0.3446
70.0,0.582,1.3587,-0.3616
75.0,0.456,1.3922,-0.3775
80.0,0.326,1.4063,-0.3921
85.0,0.197,1.4042,-0.4057
90.0,0.072,1.3985,-0.418
