r/R,c/R
0.023809523809523808,0.05622222222222222
0.0455031746031746,0.05622222222222222
0.08888888888888888,0.06117460317460317
0.13227460317460318,0.06614285714285714
0.1865079365079365,0.07233333333333333
0.2515873015873016,0.07384126984126985
0.31666666666666665,0.07076190476190476
0.3817460317460318,0.06744444444444445
0.4468253968253968,0.06360317460317459
0.5119047619047619,0.0594920634920635
0.576984126984127,0.05558730158730158
0.6420634920634921,0.05168253968253968
0.7071428571428571,0.04777777777777777
0.7722222222222223,0.04387301587301587
0.8373015873015873,0.039968253968253965
0.8915349206349206,0.03671428571428572
0.9349206349206349,0.03311111111111111
0.9783063492063492,0.022523809523809526
1.0,0.022523809523809526
